claim_amount,frequency,amount_ratio,doc_match_score,time_gap,fraud
16795,8,1.2955106448626967,0.8337498258560774,87,1
38194,8,3.0893796004206098,0.39053308376931173,53,1
1769,8,0.515292746868628,0.11004270591206029,76,1
20769,6,2.808139534883721,0.7873687420594125,59,1
19942,3,6.878923766816143,0.8777243706586128,3,1
4556,3,0.4631022565562106,0.03903095579116771,4,1
9792,2,0.8717172616398112,0.7293016342019151,84,0
24483,7,1.4584499910645141,0.7103165563345655,78,1
36920,4,14.282398452611218,0.7935133228268233,6,1
44573,4,4.9586160863277335,0.5053708647569991,44,1
1161,4,0.0926280516993777,0.11758971745148711,62,1
25276,2,1.384076223852809,0.8070259980080767,60,0
9571,9,1.5250159337157425,0.7223651931039312,71,1
3568,8,1.1787248100429468,0.7042239468145253,115,1
40504,8,2.7027892699853195,0.8817879924343034,106,1
27854,9,2.965715502555366,0.7992694074557947,48,1
36222,8,3.0273297116590054,0.8416644775485848,101,1
9110,3,0.494786009124484,0.9312901539863683,103,0
1206,3,0.07121766859572458,0.8426110669546335,96,0
23403,5,2.7295311406578024,0.8619523273905019,29,1
34827,7,3.191039032435404,0.9641403517045772,42,1
43557,9,3.5550930460333006,0.9411016230697343,44,1
26939,7,1.6124379002813192,0.9720485324637262,1,1
2306,9,0.2201642161542868,0.3064483815465394,9,1
4748,1,0.3264352011000344,0.9828729111737557,118,0
31303,8,7.27300185873606,0.7194676741326944,58,1
18675,7,1.4764012965451814,0.74442607898602,56,1
28728,1,5.007495206553948,0.7099152198701645,96,1
8392,1,0.5613753428322965,0.2936716561665378,32,1
27309,7,4.604451188669701,0.22179267363684266,17,1
26342,6,7.917643522693117,0.9950269422684529,86,1
35698,1,3.4527517168004644,0.9087438420372645,3,1
3811,4,0.5050357805459846,0.9428503138419146,20,0
3911,7,0.20341186872627035,0.8192716063262566,39,1
36153,8,6.302824267782427,0.9205648357722316,50,1
48254,3,2.73455740677774,0.9451666600603648,116,1
12835,1,4.209576910462447,0.989625805386638,69,1
30855,7,2.7431543385490755,0.9101073489918314,80,1
2154,4,0.2952707333790267,0.9663310296282879,116,0
13874,1,2.121731151552225,0.881928717897877,99,0
3557,9,0.20346642260610914,0.7851762924212397,110,1
12969,6,0.7071428571428572,0.9136537664042608,33,1
26876,4,1.8604457981448153,0.7924182375557167,48,0
5555,3,0.4037944319255652,0.7731968930137251,38,0
48333,3,4.139162456110302,0.8303183096531286,21,1
33352,1,3.7074255224544244,0.8716012597627549,64,1
45080,1,2.3012915411710653,0.9744593170661345,99,0
33635,9,16.32766990291262,0.8284552444951943,53,1
1699,1,1.4277310924369748,0.7572733093451037,33,0
20778,2,7.378551136363637,0.9532639422178935,67,1
35663,8,2.563286135269173,0.997016155031279,66,1
17538,2,1.3237225450977432,0.9091047222985804,43,0
13533,7,1.9898544331715924,0.9430340184037542,25,1
11647,7,0.8742025069428807,0.8949891792333295,110,1
5495,3,0.3815177393598556,0.8315422369054261,63,0
34621,3,1.9278872925715558,0.951680050620809,58,0
32024,4,5.543361606370088,0.8080571924233788,60,1
28236,1,1.8101160330790436,0.7647463082490529,5,0
22606,4,12.050106609808102,0.24681234303400712,99,1
40734,8,4.5325470123511735,0.5817221202684953,106,1
19077,3,2.048866931586296,0.8316914262116908,55,0
26945,5,2.894821658788139,0.25698868496406463,12,1
10204,1,4.903411821239788,0.8327056689193313,96,1
8805,6,0.49072061528172545,0.5607683984038259,1,1
